BA,OA,District,Village/Site,Village Code,Site ID,AT-3 Date,LOT 
Ranchi,RCH,SIMDEGA,Khinda,376501,UVJHRCH00309,24-May-24,LOT-10
Ranchi,RCH,KHUNTI,Sauriuli,375018,UVJHRCH00379,25-May-24,LOT-10
Ranchi,RCH,SIMDEGA,Palemunda,376550,UVJHRCH00053,10-Apr-24,LOT-10
Dhanbad,DMK,SAHEBGANJ,Suwarmari,VCDM01840,UVJHDMK00498,17-May-24,LOT-11
Dhanbad,DMK,GODDA,Surla,356337,UVJHDMK00433,28-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,SHALGACHHI SANTHALI,VCDM01824,UVJHDMK00476,07-May-24,LOT-11
Dhanbad,DMK,DUMKA,Sarpahari,371084,UVJHDMK00413,30-May-24,LOT-11
Dhanbad,DMK,DUMKA,Sarkhipahar,370498,UVJHDMK00528,30-May-24,LOT-11
Ranchi,RCH,KHUNTI,RUMUTKEL,375152,UVJHRCH00414,05-Jun-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Pushre/Bada Udali,358747,UVJHDMK00620,09-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,PENDENI MAGO,358365,UVJHDMK00568,16-May-24,LOT-11
Ranchi,RCH,Gumla,Nichdumri/Upar Khatanga,376267,UVJHRCH00058,03-Jun-24,LOT-11
Ranchi,RCH,Gumla,Murumkela,376269,UVJHRCH00060,03-Jun-24,LOT-11
Dhanbad,DMK,GODDA,Muchuradaldali,356109,UVJHDMK00530,28-May-24,LOT-11
Ranchi,HZB,GIRIDIH,Mehabank,351616,UVJHHZB00321,25-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Maskepu (Banspahar)/Bangariya,358739,UVJHDMK00638,09-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Maniharpur,358998,UVJHDMK00475,07-May-24,LOT-11
Ranchi,RCH,Gumla,Mangroutala (Bandotoli),VCDM01758,UVJHRCH00391,11-Jun-24,LOT-11
Ranchi,RCH,Gumla,luchutpath,VCDM01749,UVJHRCH00156,06-Jun-24,LOT-11
Ranchi,DTJ,PALAMU,Kurkuta,365486,UVJHDTJ00276,24-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Kulbanga,358021,UVJHDMK00372,29-May-24,LOT-11
Jamshedpur,JSR,PURBI SINGHBHUM,Kudlung,363380,UVJHJSR00161,13-Jun-24,LOT-11
Ranchi,RCH,KHUNTI,Koil,375374,UVJHRCH00439,04-Jun-24,LOT-11
Ranchi,DTJ,GARHWA,Khura,348015,UVJHDTJ00354,29-May-24,LOT-11
Ranchi,RCH,Gumla,Katari,376191,UVJHRCH00185,05-Jun-24,LOT-11
Ranchi,DTJ,PALAMU,Kanaudi,365963,UVJHDTJ00352,24-May-24,LOT-11
Ranchi,RCH,Gumla,kachhapat,VCDM01709,UVJHRCH00350,05-Jun-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Jokmari (Gutibera),358018,UVJHDMK00482,15-May-24,LOT-11
Dhanbad,DMK,DUMKA,Jhilua,370086,UVJHDMK00576,29-May-24,LOT-11
Ranchi,RCH,Gumla,Jamgain,376301,UVJHRCH00054,12-Jun-24,LOT-11
Ranchi,RCH,LOHARDAGA,Hesag,362948,UVJHRCH00438,14-Jun-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Gutigoda/Guti Beda,358169,UVJHDMK00421,29-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Gutibera/Baramasiya,358063,UVJHDMK00490,16-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Gobindpur,358088,UVJHDMK00356,17-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Gambari,358628,UVJHDMK00371,28-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Domahani,358060,UVJHDMK00197,17-May-24,LOT-11
Ranchi,HZB,GIRIDIH,Dhankutwa,350403,UVJHHZB00262,30-Apr-24,LOT-11
Ranchi,RCH,Gumla,Dabu,376148,UVJHRCH00145,10-Jun-24,LOT-11
Ranchi,RCH,LOHARDAGA,Chulhapani,362981,UVJHRCH00363,14-Jun-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Chua,358013,UVJHDMK00389,29-May-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Chhota Daulepahar,358423,UVJHDMK00621,28-May-24,LOT-11
Ranchi,RCH,Gumla,Chandipath,VCDM01650,UVJHRCH00181,06-Jun-24,LOT-11
Dhanbad,DMK,SAHEBGANJ,Chamrapahar,359357,UVJHDMK00496,07-May-24,LOT-11
