BA,OA,District,Village/Site,Village Code,Site ID,AT-3 Date,LOT 
Jamshedpur,JSR,PURBI SINGHBHUM,Nayagram,VCDM01775,UVJHJSR00210,4.4.24,LOT-4
Ranchi,RCH,Gumla,Sidhma,VCDM01827,UVJHRCH00192,26.4.24,LOT-4
Ranchi,RCH,Gumla,Birkera,376310,UVJHRCH00050,25.4.24,LOT-4
Ranchi,DTJ,GARHWA,Henhe Alias Baraiha,347403,UVJHDTJ00324,21.3.24,LOT-4
Ranchi,RCH,Gumla,Sarangadih,376218,UVJHRCH00144,24.4.24,LOT-4
Jamshedpur,JSR,PURBI SINGHBHUM,Forest Block,364167,UVJHJSR00019,4.4.24,LOT-4
Ranchi,RCH,KHUNTI,Todang,375343,UVJHRCH00271,10.5.24,LOT-4
Jamshedpur,JSR,PURBI SINGHBHUM,Murathakura,VCDM01767,UVJHJSR00231,8.4.24,LOT-4
Ranchi,RCH,KHUNTI,Jaltanda,375119,UVJHRCH00289,10.5.24,LOT-4
Ranchi,RCH,KHUNTI,Charadih,375373,UVJHRCH00243,10.5.24,LOT-4
Ranchi,RCH,Gumla,Asurtoli,VCDM01617,UVJHRCH00198,23.4.24,LOT-4
Ranchi,RCH,Gumla,Okharagarh,VCDM01779,UVJHRCH00346,23.4.24,LOT-4
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Longkata,377147,UVJHJSR00439,15.4.24,LOT-4
Jamshedpur,JSR,PURBI SINGHBHUM,Chimti,363334,UVJHJSR00143,4.4.24,LOT-4
Jamshedpur,JSR,PURBI SINGHBHUM,Karida,364026,UVJHJSR00424,10.4.24,LOT-4
Jamshedpur,JSR,PURBI SINGHBHUM,Satbakhara,364013,UVJHJSR00456,5.4.24,LOT-4
Ranchi,DTJ,PALAMU,Dhumkhar,366079,UVJHDTJ00280,10.4.24,LOT-4
Ranchi,RCH,Gumla,Banaidega,376361,UVJHRCH00009,22.4.24,LOT-4
Ranchi,DTJ,LATEHAR,Gotag,367127,UVJHDTJ00370,4.4.24,LOT-4
Ranchi,RCH,Gumla,Litim,376332,UVJHRCH00005,20.4.24,LOT-4
Ranchi,DTJ,Palamu,Jamari,365803,UVJHDTJ00489,21.3.24,LOT-4
Ranchi,DTJ,PALAMU,Hatai,365808,UVJHDTJ00288,22.3.24,LOT-4
Ranchi,DTJ,PALAMU,Sohdag Kalan,365811,UVJHDTJ00292,22.3.24,LOT-4
Ranchi,DTJ,PALAMU,Kurdag,365141,UVJHDTJ00196,22.3.24,LOT-4
Dhanbad,DMK,DEOGHAR,Nunuraydih,VCDM01777,UVJHDMK00442,1.5.24,LOT-4
Ranchi,HZB,CHATRA,Satbahini,348380,UVJHHZB00273,30.3.24,LOT-4
Dhanbad,DMK,GODDA,daribo,357918,UVJHDMK00531,6.5.24,LOT-4
Ranchi,DTJ,GARHWA,Lukumba Alias Lukumbar,347858,UVJHDTJ00186,28.3.24,LOT-4
Ranchi,DTJ,PALAMU,Derwa,366010,UVJHDTJ00208,10.4.24,LOT-4
Ranchi,DTJ,Palamu,Dumri,366101,UVJHDTJ00467,10.4.24,LOT-4
Ranchi,DTJ,PALAMU,Abun,366360,UVJHDTJ00431,4.4.24,LOT-4
Ranchi,HZB,CHATRA,Madooya,VCDM01753,UVJHHZB00127,28.3.24,LOT-4
Ranchi,RCH,Gumla,Jaldega,376354,UVJHRCH00421,15.4.24,LOT-4
Ranchi,DTJ,PALAMU,Chor Pahra,365129,UVJHDTJ00192,6.4.24,LOT-4
Dhanbad,DMK,DUMKA,Gondamala,VCDM01688,UVJHDMK00403,30.4.24,LOT-4
Dhanbad,DMK,DUMKA,Chowlidat,VCDM01653,UVJHDMK00402,30.4.24,LOT-4
Ranchi,DTJ,PALAMU,Tenwahi Alias Hathbajhwa/Saketi,365128,UVJHDTJ00199,6.4.24,LOT-4
Jamshedpur,JSR,PURBI SINGHBHUM,Jambani,364194,UVJHJSR00316,1.5.24,LOT-4
Ranchi,DTJ,PALAMU,Ghagra,365118,UVJHDTJ00193,6.4.24,LOT-4
Ranchi,RCH,KHUNTI,Lebed,375387,UVJHRCH00388,8.4.24,LOT-4
Ranchi,RCH,KHUNTI,Samorleta,375010,UVJHRCH00213,10.5.24,LOT-4
Ranchi,RCH,KHUNTI,Kulipiri,375040,UVJHRCH00295,10-May-24,LOT-4
Ranchi,RCH,Gumla,Barkadoharaliasdomkom,375455,UVJHRCH00230,10-Apr-24,LOT-5
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Jarakel,376991,UVJHJSR00078,14-Apr-24,LOT-5
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Jamjoi,376960,UVJHJSR00056,16-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Girang/Barkibiura,VCDM01687,UVJHRCH00308,18-Apr-24,LOT-5
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Patiyar,377672,UVJHJSR00368,17-Apr-24,LOT-5
Ranchi,DTJ,PALAMU,Salaiya,365638,UVJHDTJ00241,13-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Hathabhanri,376396,UVJHRCH00071,17-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Korkotjor,376524,UVJHRCH00164,12-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Lamgarh,376790,UVJHRCH00033,13-Apr-24,LOT-5
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Jamtiri,377696,UVJHJSR00058,16-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Latha Khamhar,376572,UVJHRCH00064,12-Apr-24,LOT-5
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Sawaniya,377165,UVJHJSR00101,12-Apr-24,LOT-5
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Borotika,377690,UVJHJSR00360,16-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Ela,376815,UVJHRCH00029,16-Apr-24,LOT-5
Ranchi,RCH,Gumla,Bhusunditoli,376363,UVJHRCH00013,11-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Jethubandh,376545,UVJHRCH00052,10-Apr-24,LOT-5
Ranchi,DTJ,PALAMU,Maradag,365645,UVJHDTJ00236,13-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Kusum,376797,UVJHRCH00339,15-Apr-24,LOT-5
Ranchi,DTJ,PALAMU,Adar,365642,UVJHDTJ00224,13-Apr-24,LOT-5
Ranchi,DTJ,GARHWA,Mahugain,347953,UVJHDTJ00001,20-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Loasokra,376786,UVJHRCH00038,16-Apr-24,LOT-5
Ranchi,HZB,HAZARIBAGH,Dumri,368053,UVJHHZB00064,20-Apr-24,LOT-5
Ranchi,RCH,KHUNTI,Dumangdiri,374939,UVJHRCH00457,12-Apr-24,LOT-5
Ranchi,RCH,Gumla,Barang,375541,UVJHRCH00397,12-Apr-24,LOT-5
Ranchi,RCH,Gumla,Ramdega,376317,UVJHRCH00061,15-Apr-24,LOT-5
Ranchi,DTJ,GARHWA,Gariya,347993,UVJHDTJ00359,20-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Dhangrinacha Gariajor,VCDM01668,UVJHRCH00307,19-Apr-24,LOT-5
Ranchi,RCH,LATEHAR,Naina,367026,UVJHDTJ00310,23-Apr-24,LOT-5
Ranchi,RCH,Gumla,mirchaipath,VCDM01763,UVJHRCH00348,08-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Daridih,376495,UVJHRCH00084,18-Apr-24,LOT-5
Ranchi,DTJ,GARHWA,Hesatu,VCDM06155,UVJHDTJ00462,20-Apr-24,LOT-5
Ranchi,DTJ,PALAMU,Kauwal,365650,UVJHDTJ00233,13-Apr-24,LOT-5
Ranchi,DTJ,PALAMU,Kadal Kurmi,365241,UVJHDTJ00337,19-Apr-24,LOT-5
Ranchi,RCH,Gumla,Karichuan,375864,UVJHRCH00152,13-Apr-24,LOT-5
Ranchi,RCH,KHUNTI,Ghaghra,375341,UVJHRCH00246,12-Apr-24,LOT-5
Ranchi,JSR,PASHCHIMI SINGHBHUM,Lupungkel,377048,UVJHJSR00574,12-Apr-24,LOT-5
Ranchi,RCH,KHUNTI,Katui,375337,UVJHRCH00251,12-Apr-24,LOT-5
Ranchi,RCH,SIMDEGA,Taisra,376403,UVJHRCH00189,17-Apr-24,LOT-5
Ranchi,HZB,CHATRA,Mohanadih,348700,UVJHHZB00055,29-Apr-24,LOT-5
Ranchi,JSR,PASHCHIMI SINGHBHUM,Kenrke,377050,UVJHJSR00573,13-Apr-24,LOT-5
Ranchi,DTJ,PALAMU,Matnag,365633,UVJHDTJ00237,13-Apr-24,LOT-5
Ranchi,JSR,PURBI SINGHBHUM,Raghunathpur,364268,UVJHJSR00012,01-May-24,LOT-5
Ranchi,JSR,PASHCHIMI SINGHBHUM,Chhotakesel,377062,UVJHJSR00097,15-Apr-24,LOT-5
Ranchi,DTJ,PALAMU,Salwe/Ratnag,365658,UVJHDTJ00242,24-Apr-24,LOT-5
Ranchi,DTJ,PALAMU,Nimiahi/Pratappur,365131,UVJHDTJ00277,19-Apr-24,LOT-5
Ranchi,DTJ,PALAMU,Phatia,365127,UVJHDTJ00255,19-Apr-24,LOT-5
Ranchi,HZB,CHATRA,Bandohri,348308,UVJHHZB00272,23-Apr-24,LOT-5
Ranchi,HZB,CHATRA,Lupugarah,348481,UVJHHZB00101,22-Apr-24,LOT-5
Ranchi,HZB,CHATRA,Bajrahi,348526,UVJHHZB00283,24-Apr-24,LOT-5
Ranchi,,DUMKA,Jaipahari,VCDM01695,UVJHDMK00411,29-Apr-24,LOT-5
Jamshedpur,JSR,PURBI SINGHBHUM,Mahisadhara,364060,UVJHJSR00130,26-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Jhatijharna,363485,UVJHJSR00134,22-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Basadera,363465,UVJHJSR00135,16-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Dainmari,363479,UVJHJSR00465,22-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Haludbani,363569,UVJHJSR00137,15-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Ghutbahar,376589,UVJHRCH00063,24-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Kata Kati,364008,UVJHJSR00026,25-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Purnapani,376463,UVJHRCH00079,20-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Lailam,363868,UVJHJSR00297,19-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Paharpur,VCDM01783,UVJHJSR00216,22-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Narsinghpur,363575,UVJHJSR00464,22-Apr-24,LOT-6
Ranchi,RCH,KHUNTI,Bundu Mamail,375151,UVJHRCH00459,23-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Dhobani,363337,UVJHJSR00146,19-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Kodakocha,363515,UVJHJSR00132,26-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Soe,376813,UVJHRCH00030,27-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Sikorda,376823,UVJHRCH00032,29-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Bankati,364334,UVJHJSR00020,22-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Jhaliyabera,363883,UVJHJSR00034,19-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Gurajor,363573,UVJHJSR00136,15-Apr-24,LOT-6
Ranchi,DTJ,PALAMU,Adar,366802,UVJHDTJ00213,24-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Ghansilori,376628,UVJHRCH00399,24-Apr-24,LOT-6
Ranchi,RCH,KHUNTI,HATUMUNDI,375163,UVJHRCH00410,23-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Baliyagora,363619,UVJHJSR00508,19-Apr-24,LOT-6
Ranchi,RCH,KHUNTI,Belkidura,375028,UVJHRCH00372,24-Apr-24,LOT-6
Ranchi,RCH,KHUNTI,Karkel,375026,UVJHRCH00208,23-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Kharbanda,364279,UVJHJSR00010,26-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Pitidiri,363873,UVJHJSR00033,19-Apr-24,LOT-6
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Putunga,377682,UVJHJSR00370,18-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Khokhro,363306,UVJHJSR00290,16-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Ramjari,376703,UVJHRCH00326,29-Apr-24,LOT-6
Ranchi,RCH,KHUNTI,Birhorchuan/Khudibir,374982,UVJHRCH00376,24-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Chetan Kuilisuta,VCDM01652,UVJHJSR00235,25-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Sirikonde Kera,376652,UVJHRCH00099,23-Apr-24,LOT-6
Ranchi,DTJ,PALAMU,Manke,366805,UVJHDTJ00216,28-Apr-24,LOT-6
Ranchi,DTJ,LATEHAR,Ganeshpur,367002,UVJHDTJ00362,27-Apr-24,LOT-6
Ranchi,DTJ,LATEHAR,Sukhal Katha,367284,UVJHDTJ00306,27-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Konop,376779,UVJHRCH00036,26-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Kudrung,376793,UVJHRCH00166,26-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Olhan,376829,UVJHRCH00341,27-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Larba,376664,UVJHRCH00098,23-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Kurkura,376748,UVJHRCH00109,25-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Raisia,376641,UVJHRCH00097,22-Apr-24,LOT-6
Ranchi,RCH,SIMDEGA,Junadih,376734,UVJHRCH00025,25-Apr-24,LOT-6
Ranchi,RCH,KHUNTI,Jane,VCDM01700,UVJHRCH00380,24-Apr-24,LOT-6
Ranchi,RCH,KHUNTI,Kotanger,374998,UVJHRCH00378,24-Apr-24,LOT-6
Ranchi,DTJ,LATEHAR,Selardant,VCDM01820,UVJHDTJ00331,28-Apr-24,LOT-6
Ranchi,RCH,KHUNTI,Goharam,374999,UVJHRCH00377,24-Apr-24,LOT-6
Ranchi,DTJ,LATEHAR,Bhargaon,367522,UVJHDTJ00345,27-Apr-24,LOT-6
Ranchi,RCH,KHUNTI,Koyangsar,375168,UVJHRCH00294,23-Apr-24,LOT-6
Ranchi,DTJ,PALAMU,Matnag,366374,UVJHDTJ00453,28-Apr-24,LOT-6
Jamshedpur,JSR,PURBI SINGHBHUM,Kakdaha,363950,UVJHJSR00164,22-Mar-24,LOT-7
Jamshedpur,JSR,PURBI SINGHBHUM,Larkabasa,364241,UVJHJSR00317,21-Mar-24,LOT-7
Ranchi,RCH,RANCHI,Papirda/Tamrana,374578,UVJHRCH00433,08-Apr-24,LOT-7
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Gula,377751,UVJHJSR00064,16-Apr-24,LOT-7
Ranchi,RCH,KHUNTI,buruhata,375210,UVJHRCH00429,09-Apr-24,LOT-7
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Buruhatu,378620,UVJHJSR00305,08-Apr-24,LOT-7
Ranchi,DTJ,PALAMU,Kutti,366797,UVJHDTJ00379,24-Apr-24,LOT-7
Jamshedpur,JSR,PURBI SINGHBHUM,Zarhi,VCDM01864,UVJHJSR00214,09-Apr-24,LOT-7
Ranchi,DTJ,PALAMU,Karma,366796,UVJHDTJ00375,24-Apr-24,LOT-7
Ranchi,DTJ,LATEHAR,Endwa,367427,UVJHDTJ00432,24-Feb-24,LOT-7
Ranchi,RCH,RANCHI,Kitadih,374570,UVJHRCH00432,09-Apr-24,LOT-7
Ranchi,DTJ,LATEHAR,Jube katiya Anwatikar,VCDM01708,UVJHDTJ00447,19-Mar-24,LOT-7
Ranchi,RCH,KHUNTI,Chuklu,375344,UVJHRCH00389,08-Apr-24,LOT-7
Ranchi,DTJ,PALAMU,Bara Khanr Alias Kahuakhanr,365580,UVJHDTJ00227,24-Apr-24,LOT-7
Jamshedpur,JSR,PURBI SINGHBHUM,Naikanshol,364233,UVJHJSR00013,03-Apr-24,LOT-7
Ranchi,DTJ,PALAMU,Pinrhe,366825,UVJHDTJ00217,24-Apr-24,LOT-7
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Kumai,378625,UVJHJSR00409,02-Apr-24,LOT-7
Jamshedpur,JSR,PURBI SINGHBHUM,Kulamara,VCDM01739,UVJHJSR00239,17-Mar-24,LOT-7
Ranchi,DTJ,LATEHAR,Mahuatanr,367532,UVJHDTJ00363,04-Apr-24,LOT-7
Ranchi,DTJ,PALAMU,Uter,366818,UVJHDTJ00374,24-Apr-24,LOT-7
Dhanbad,DMK,DUMKA,Sarwapani,370809,UVJHDMK00399,22-Apr-24,LOT-7
Dhanbad,DMK,DUMKA,Chhota Chaparia,370802,UVJHDMK00400,22-Apr-24,LOT-7
Dhanbad,DMK,DUMKA,dahrangi / dubaidih,VCDM01661,UVJHDMK00401,22-Apr-24,LOT-7
Dhanbad,DMK,DUMKA,Bhelaighati,370565,UVJHDMK00392,20-Apr-24,LOT-7
Ranchi,DTJ,LATEHAR,Aigu,367108,UVJHDTJ00311,23-Apr-24,LOT-7
Ranchi,RCH,SIMDEGA,Bhalmanda/ Gariajor,VCDM01634,UVJHRCH00174,19-Apr-24,LOT-7
Jamshedpur,JSR,PURBI SINGHBHUM,Ghagda,364014,UVJHJSR00025,25-Apr-24,LOT-7
Ranchi,DTJ,GARHWA,BANUTIKAR,347823,UVJHDTJ00428,24-Apr-24,LOT-7
Dhanbad,DMK,GODDA,Madgi Bedo,357792,UVJHDMK00428,10-Apr-24,LOT-7
Ranchi,RCH,SIMDEGA,Kauwajor,376839,UVJHRCH00338,13-Apr-24,LOT-7
Dhanbad,DMK,GODDA,Perdarda (Ambar),357702,UVJHDMK00436,10-Apr-24,LOT-7
Ranchi,DTJ,LATEHAR,Bikra/chanchu,366904,UVJHDTJ00412,23-Apr-24,LOT-7
Dhanbad,DMK,DUMKA,Khairbani,370601,UVJHDMK00393,20-Apr-24,LOT-7
Dhanbad,DMK,DUMKA,sonaiur,VCDM01835,UVJHDMK00414,29-Apr-24,LOT-7
Dhanbad,DMK,DUMKA,kurharsila,VCDM01740,UVJHDMK00415,29-Apr-24,LOT-7
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Punisir,378616,UVJHJSR00301,01-Apr-24,LOT-7
Ranchi,HZB,GIRIDIH,Khakhodhab,350397,UVJHHZB00263,30-Apr-24,LOT-7
Ranchi,DTJ,LATEHAR,Rudru,VCDM01813,UVJHDTJ00330,23-Apr-24,LOT-7
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Basgutu,378618,UVJHJSR00406,01-Apr-24,LOT-7
Dhanbad,DMK,SAHEBGANJ,Chapi,358319,UVJHDMK00365,18-May-24,LOT-7
Ranchi,DTJ,PALAMU,Hulsi Kalan,365629,UVJHDTJ00230,24-Apr-24,LOT-7
Jamshedpur,JSR,PURBI SINGHBHUM,Butgora,363806,UVJHJSR00037,01-Apr-24,LOT-7
Jamshedpur,JSR,PURBI SINGHBHUM,Hitbasa,363798,UVJHJSR00040,01-Apr-24,LOT-7
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Baredih,377148,UVJHJSR00383,13-Apr-24,LOT-7
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Osangi,377689,UVJHJSR00367,17-Apr-24,LOT-7
Ranchi,DTJ,LATEHAR,Chaea,367517,UVJHDTJ00463,23-Apr-24,LOT-7
Dhanbad,DMK,SAHEBGANJ,Junatola,358407,UVJHDMK00361,18-May-24,LOT-7
Dhanbad,DMK,SAHEBGANJ,Asanjora Bedo,358310,UVJHDMK00700,18-May-24,LOT-7
Dhanbad,DMK,SAHEBGANJ,Chualalo,358704,UVJHDMK00228,20-May-24,LOT-7
Ranchi,DTJ,LATEHAR,Janta,367012,UVJHDTJ00313,24-May-24,LOT-7
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Desma Pahar/mutugora,378609,UVJHJSR00199,08-Apr-24,LOT-8
Dhanbad,DMK,DUMKA,Lakhibad,370536,UVJHDMK00391,14-Mar-24,LOT-8
Dhanbad,DMK,DUMKA,Pujadih,370545,UVJHDMK00346,14-Mar-24,LOT-8
Ranchi,DTJ,GARHWA,Chandna,347135,UVJHDTJ00271,23-Feb-24,LOT-8
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Junglikhas,379301,UVJHJSR00174,10-Apr-24,LOT-8
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Palobera,379297,UVJHJSR00564,10-Apr-24,LOT-8
Jamshedpur,JSR,PURBI SINGHBHUM,Barajhara,VCDM01632,UVJHJSR00234,21-Mar-24,LOT-8
Jamshedpur,JSR,PURBI SINGHBHUM,Dudhiyashol,364419,UVJHJSR00014,01-Apr-24,LOT-8
Jamshedpur,JSR,PURBI SINGHBHUM,Jobla,VCDM01706,UVJHJSR00238,21-Mar-24,LOT-8
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Diriora,378712,UVJHJSR00566,22-Mar-24,LOT-8
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Tumsa,379296,UVJHJSR00563,22-Mar-24,LOT-8
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Kalajor,379290,UVJHJSR00565,09-Apr-24,LOT-8
Jamshedpur,JSR,PURBI SINGHBHUM,Namolepo,VCDM01772,UVJHJSR00232,23-Mar-24,LOT-8
Jamshedpur,JSR,PURBI SINGHBHUM,Arjunbera,364229,UVJHJSR00016,22-Mar-24,LOT-8
Dhanbad,DMK,DUMKA,Chhatupara,370939,UVJHDMK00419,13-Mar-24,LOT-8
Dhanbad,DMK,DUMKA,kusumghati,370942,UVJHDMK00565,13-Mar-24,LOT-8
Dhanbad,DMK,DUMKA,Khejuria,370915,UVJHDMK00308,13-Mar-24,LOT-8
Ranchi,DTJ,GARHWA,Barwari,347156,UVJHDTJ00270,23-Feb-24,LOT-8
Ranchi,DTJ,PALAMU,Sarguja,VCDM01819,UVJHDTJ00426,14-Mar-24,LOT-8
Ranchi,DTJ,GARHWA,Chapiya,348014,UVJHDTJ00424,30-Mar-24,LOT-8
Ranchi,DTJ,PALAMU,pokharia,365965,UVJHDTJ00436,10-Apr-24,LOT-8
Jamshedpur,JSR,PURBI SINGHBHUM,Dangdung,363336,UVJHJSR00579,19-Apr-24,LOT-8
Ranchi,DTJ,PALAMU,Naia,365135,UVJHDTJ00253,20-Mar-24,LOT-8
Jamshedpur,JSR,PURBI SINGHBHUM,Baruniya,364025,UVJHJSR00027,10-Apr-24,LOT-8
Ranchi,DTJ,PALAMU,Korta,365816,UVJHDTJ00205,20-Mar-24,LOT-8
Ranchi,DTJ,GARHWA,MANDOHAR ALIAS KARUA,347406,UVJHDTJ00430,21-Mar-24,LOT-8
Ranchi,HZB,GIRIDIH,Bansjor,351590,UVJHHZB00336,29-May-24,LOT-8
Dhanbad,DMK,DUMKA,Duaria,370568,UVJHDMK00390,03-May-24,LOT-8
Dhanbad,DMK,SAHEBGANJ,Naugachi,358380,UVJHDMK00478,15-May-24,LOT-8
Jamshedpur,JSR,PURBI SINGHBHUM,Kuyra-2,VCDM01743,UVJHJSR00195,01-May-24,LOT-8
Ranchi,HZB,CHATRA,Gamhartari,348684,UVJHHZB00172,30-Mar-24,LOT-8
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Ranaburu,377698,UVJHJSR00074,10-May-24,LOT-8
Ranchi,DTJ,GARHWA,GARDA,347404,UVJHDTJ00429,08-Apr-24,LOT-8
Ranchi,HZB,CHATRA,Ulrathi,349466,UVJHHZB00096,06-Apr-24,LOT-8
Ranchi,HZB,CHATRA,Bhagia,348431,UVJHHZB00335,13-Apr-24,LOT-8
Ranchi,HZB,CHATRA,Dalkoma,348202,UVJHHZB00293,09-Apr-24,LOT-8
Dhanbad,DMK,DUMKA,Babupur,370560,UVJHDMK00395,03-May-24,LOT-8
Dhanbad,DMK,DUMKA,Dharampur,370571,UVJHDMK00397,03-May-24,LOT-8
Ranchi,HZB,CHATRA,Lohri,349250,UVJHHZB00068,18-Apr-24,LOT-8
Dhanbad,DMK,SAHEBGANJ,Daminbhita,357973,UVJHDMK00523,15-May-24,LOT-8
Ranchi,HZB,CHATRA,Pandarkola,348267,UVJHHZB00345,20-Apr-24,LOT-8
Ranchi,HZB,CHATRA,Khandhar,349462,UVJHHZB00330,08-Apr-24,LOT-8
Ranchi,HZB,CHATRA,Labani,349265,UVJHHZB00069,08-Apr-24,LOT-8
Ranchi,HZB,CHATRA,Hatwaria,348133,UVJHHZB00052,08-Apr-24,LOT-8
Ranchi,HZB,CHATRA,Hanre,349371,UVJHHZB00104,12-Apr-24,LOT-8
Ranchi,HZB,CHATRA,Kurkheta,348261,UVJHHZB00051,18-Apr-24,LOT-8
Ranchi,HZB,CHATRA,Ichatu,348515,UVJHHZB00287,22-Apr-24,LOT-8
Ranchi,HZB,CHATRA,Taradohar,348477,UVJHHZB00066,22-Apr-24,LOT-8
Dhanbad,DMK,DUMKA,Sibakol,372102,UVJHDMK00571,30-Apr-24,LOT-8
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Kudahatu,377972,UVJHJSR00381,10-May-24,LOT-8
Ranchi,HZB,KODERMA,Goriadih,349741,UVJHHZB00085,22-Mar-24,LOT-9
Jamshedpur,JSR,PURBI SINGHBHUM,Mirgitanr,363574,UVJHJSR00517,17-Apr-24,LOT-9
Dhanbad,DMK,JAMTARA,kallathol,372998,UVJHDMK00533,28-May-24,LOT-9
Dhanbad,DMK,PAKUR,Dumro,359764,UVJHDMK00437,05-Jun-24,LOT-9
Dhanbad,DMK,PAKUR,Ganeshpur,360491,UVJHDMK00539,05-Jun-24,LOT-9
Ranchi,RCH,LOHARDAGA,Uldag,362877,UVJHRCH00204,15-May-24,LOT-9
Dhanbad,DMK,DEOGHAR,Maniyarpur,354364,UVJHDMK00423,11-Jun-24,LOT-9
Ranchi,RCH,RANCHI,Jumla,373807,UVJHRCH00434,21-May-24,LOT-9
Dhanbad,DMK,DEOGHAR,Narha Simar,354205,UVJHDMK00422,10-Jun-24,LOT-9
Dhanbad,DMK,PAKUR,Taldihkita Bargo,360063,UVJHDMK00439,04-Jun-24,LOT-9
Ranchi,RCH,RANCHI,Chirua,373472,UVJHRCH00431,20-May-24,LOT-9
Jamshedpur,JSR,PURBI SINGHBHUM,Tulgram,363908,UVJHJSR00032,17-Apr-24,LOT-9
Dhanbad,DNB,Bokaro,Baridih,362227,UVJHDNB00059,23-Apr-24,LOT-9
Ranchi,HZB,KODERMA,Ambakola,349641,UVJHHZB00093,01-May-24,LOT-9
Ranchi,RCH,LOHARDAGA,Kurse,362910,UVJHRCH00360,17-May-24,LOT-9
Dhanbad,DMK,PAKUR,Dagrojola,360047,UVJHDMK00338,04-Jun-24,LOT-9
Ranchi,RCH,LOHARDAGA,Deodariya,362873,UVJHRCH00361,15-May-24,LOT-9
Ranchi,HZB,KODERMA,Biragada,350016,UVJHHZB00080,02-May-24,LOT-9
